,Gene,logFC,P.Value,t,adj.P.Val,Significant
3299,CIRBP,-1.3368239756866878,1.0007289479801707e-19,-11.427387512045778,1.235590647559908e-15,True
1004,SPP1,1.9238140245941562,1.1554775382418093e-19,11.398260185485684,1.235590647559908e-15,True
4583,SPON2,-1.6618406049853913,6.840163600943338e-19,-11.038920216717944,4.388648966365246e-15,True
531,CRYAB,1.0535928018993488,1.38914717840836e-18,10.896181428257757,6.366263069048598e-15,True
242,HSPB1,1.1551334443344157,1.2221998631237372e-18,10.921961977324765,6.366263069048598e-15,True
9846,RBM3,-1.6154504945746746,1.994347344731007e-18,-10.82340368199939,7.108740313218966e-15,True
10381,XLOC_010952,-1.1548791857159104,6.478604465979674e-18,-10.586633276774956,2.008421893543643e-14,True
8380,FAM5B,-1.0495102779724022,1.2759317856146542e-17,-10.450637553559684,3.3229310827894726e-14,True
7753,BACE2,1.1699636815194827,1.4002318864498046e-17,10.431994672325864,3.3229310827894726e-14,True
14170,CYP1B1-AS1,-1.3500145011931828,1.4501569563295705e-17,-10.424969398708102,3.3229310827894726e-14,True
1587,C17orf108,-1.271144089737012,8.056556190021963e-17,-10.081443128212294,1.6153395160994038e-13,True
15016,C4A,1.628674463925325,1.0988676416403286e-16,10.019321650669376,2.0736278790483378e-13,True
8732,TARBP1,-1.1705269007711046,1.6723088343028885e-16,-9.935293274457912,2.823561442338772e-13,True
8167,SLC1A7,2.1429651181071447,2.337153059151913e-16,9.868324778000973,3.6240161247005744e-13,True
14805,LOC100289341,-1.1797963502873356,5.085530292127703e-16,-9.712801696650235,7.093209207454639e-13,True
5304,LOC100507165,-1.0874705206574653,1.6107886301128755e-15,-9.482167021043283,1.722469975134035e-12,True
9962,MYL5,-1.260840694521102,2.0924339325138106e-15,-9.429821523235788,2.097665017345095e-12,True
5331,CAMKK2,-1.3011745800584418,3.3394790722178917e-15,-9.336258985643735,3.060871103907142e-12,True
1779,AQP1,1.9189015323928569,3.931813206831273e-15,9.303571311249533,3.3192780967144015e-12,True
17218,XLOC_006951,-2.178426140800325,9.289756674274143e-15,-9.131361986834046,6.773077138879875e-12,True
14497,XLOC_001257,1.0895972156866867,1.3456682093098044e-14,9.057087950607915,8.495509256608863e-12,True
4676,CARTPT,-2.8286927941964297,1.3021532040106625e-14,-9.063678115774573,8.495509256608863e-12,True
12056,LOC399715,1.3035617321850657,1.920582719217436e-14,8.985747627907893,1.1389740538454763e-11,True
11641,XLOC_014280,-1.1958230951607138,2.1833990037054597e-14,-8.960017313543606,1.2288322813837043e-11,True
10062,RUNX3,1.1261404503571422,2.3521277247962545e-14,8.94508111585948,1.3009699553700662e-11,True
5860,XLOC_l2_015628,-1.0159263975681814,2.7223526643235474e-14,-8.915744565364605,1.4684819116100083e-11,True
8624,LOC100652912,1.003227521306819,2.7473015055740913e-14,8.913913445343134,1.4684819116100083e-11,True
7462,LAMB1,-1.3504067119155856,4.0689129991449196e-14,-8.835048798983104,2.039542640821391e-11,True
9912,SLC4A11,1.120422369313312,4.2189793111803496e-14,8.82777336191379,2.0822285585025478e-11,True
