GeneSymbol,logFC,P.Value,adj.P.Val
NRN1,-0.3406287785359832,1.877512148432024e-82,3.128686244147125e-78
NEUROD6,-0.5050625779321759,4.3543946950762023e-82,3.628081659937492e-78
PPEF1,-0.6360333466292583,2.678691067659211e-79,1.4879235983824364e-75
SVOP,-0.384523837797292,9.946951301309737e-78,4.143899912125636e-74
GNRH1,0.19624703905190055,2.832906300446127e-77,9.441510118126852e-74
ANKRD39,-0.2811098877811876,1.517285301864766e-76,4.2140070450457427e-73
C5orf13,-0.27257515215505446,2.3742234862595096e-76,5.652008596432638e-73
TMEM118,-0.25287639054236694,4.120842088732268e-76,8.583714070829315e-73
CDKN2D,-0.20137155300474913,6.989413613356377e-75,1.294128760588563e-71
ATPIF1,-0.23622244558601294,1.6860705813041574e-74,2.809668016685248e-71
BDNF,-0.4509849600459831,2.3448048035052315e-74,3.55216611323738e-71
VGF,-0.5473004206670022,5.827633153063369e-74,8.092639905220664e-71
HSPB3,-0.4027332836966509,6.663722658573997e-74,8.541867260190546e-71
TBC1D2B,0.1664460574936819,7.75962244586049e-74,9.236167745558514e-71
FRMPD2,-0.4883620973107561,1.372963153579823e-73,1.525270532750278e-70
ITPKB,0.4031404542079762,2.136239008712778e-73,2.2248929275743584e-70
CA10,-0.4341734282110951,4.1068944636259643e-73,4.025722902462533e-70
PLCE1,0.21026985290610228,1.678966824849521e-72,1.484646899942235e-69
LANCL2,-0.1797178404578981,1.6927683088635663e-72,1.484646899942235e-69
PNRC1,0.21344959964689542,2.4276409793741724e-72,2.0227104640145604e-69
CAMK4,-0.4831900831862749,2.9450641677058385e-72,2.336978537650005e-69
NFKBIA,0.36036993773710085,3.5911762257731684e-72,2.7201527557401853e-69
TCEAL5,-0.22464116616024243,6.850904654229582e-72,4.963629354699207e-69
CRH,-0.8959874224859256,7.623503838010174e-72,5.293252831525064e-69
LOC401097,-0.39096200051935487,1.0253892352868527e-71,6.834834486728046e-69
MAL2,-0.36173691819640436,1.3442296190515533e-71,8.615477835336571e-69
