GeneSymbol,logFC,P.Value,adj.P.Val
NRN1,-0.3406287785359832,1.877512148432024e-82,3.128686244147125e-78
NEUROD6,-0.5050625779321759,4.3543946950762023e-82,3.628081659937492e-78
PPEF1,-0.6360333466292583,2.678691067659211e-79,1.4879235983824364e-75
SVOP,-0.384523837797292,9.946951301309737e-78,4.143899912125636e-74
BDNF,-0.4509849600459831,2.3448048035052315e-74,3.55216611323738e-71
VGF,-0.5473004206670022,5.827633153063369e-74,8.092639905220664e-71
HSPB3,-0.4027332836966509,6.663722658573997e-74,8.541867260190546e-71
FRMPD2,-0.4883620973107561,1.372963153579823e-73,1.525270532750278e-70
ITPKB,0.4031404542079762,2.136239008712778e-73,2.2248929275743584e-70
CA10,-0.4341734282110951,4.1068944636259643e-73,4.025722902462533e-70
CAMK4,-0.4831900831862749,2.9450641677058385e-72,2.336978537650005e-69
NFKBIA,0.36036993773710085,3.5911762257731684e-72,2.7201527557401853e-69
CRH,-0.8959874224859256,7.623503838010174e-72,5.293252831525064e-69
LOC401097,-0.39096200051935487,1.0253892352868527e-71,6.834834486728046e-69
MAL2,-0.36173691819640436,1.3442296190515533e-71,8.615477835336571e-69
CBLN4,-0.47414915039692823,2.962020039247058e-71,1.762825069071892e-68
BEX5,-0.40613232119317855,3.8559260609047726e-70,1.8358614822547755e-67
SCG3,-0.3018977113084857,9.172940779490764e-70,4.246052365262058e-67
VWC2,-0.37927558084681123,9.800759127535587e-70,4.414050002736568e-67
PAK1,-0.4840091408425313,1.3728184883898192e-69,6.020170339612617e-67
PCP4L1,-0.3265841188319704,3.311629392426966e-69,1.379624804885074e-66
NAP1L5,-0.38246264769979454,6.654711289256668e-69,2.5203206573675704e-66
SCG2,-0.42865515298276147,2.2409814882176143e-68,7.945471387161345e-66
CDK5R2,-0.3341586675394905,2.6870180892084263e-68,9.328431133035253e-66
FBXO16,-0.31894390940684614,3.130096233334248e-68,1.0644882373935082e-65
GAD1,-0.30454546569470825,6.352758282069273e-68,1.9604141483778217e-65
