,DegreeCentrality
SST,0.21739130434782608
PVALB,0.15217391304347827
GAD2,0.15217391304347827
GAD1,0.15217391304347827
VIP,0.13043478260869565
SLC32A1,0.13043478260869565
SNAP25,0.13043478260869565
TAC1,0.13043478260869565
CRH,0.13043478260869565
BDNF,0.13043478260869565
TLR2,0.10869565217391304
C1QB,0.10869565217391304
C1QC,0.08695652173913043
ADCYAP1,0.08695652173913043
S100A8,0.08695652173913043
CD163,0.08695652173913043
GNG2,0.08695652173913043
CALB1,0.08695652173913043
C4A,0.06521739130434782
SCG2,0.06521739130434782
VSIG4,0.06521739130434782
CD44,0.06521739130434782
C4B,0.06521739130434782
CHGB,0.06521739130434782
S100A9,0.06521739130434782
GABRA1,0.043478260869565216
VGF,0.043478260869565216
S100A12,0.043478260869565216
SYN2,0.043478260869565216
NEFL,0.043478260869565216
SCG5,0.043478260869565216
TAC3,0.021739130434782608
HSPA1A,0.021739130434782608
MS4A6A,0.021739130434782608
CHI3L1,0.021739130434782608
RBM3,0.021739130434782608
HSPB3,0.021739130434782608
KHDRBS2,0.021739130434782608
SRGN,0.021739130434782608
TNFRSF10D,0.021739130434782608
TNFRSF10B,0.021739130434782608
CDH8,0.021739130434782608
CDH13,0.021739130434782608
NMU,0.021739130434782608
CXCL1,0.021739130434782608
SH3GL2,0.021739130434782608
GABRG2,0.021739130434782608
