Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Complement and coagulation cascades,6/85,8.65781252041241e-06,0.0006607514579640213,0,0,14.059860404590086,163.89647412062837,C4B;C1QB;C4A;F13A1;VSIG4;C1QC
KEGG_2021_Human,GABAergic synapse,6/89,1.1294896717333695e-05,0.0006607514579640213,0,0,13.379574372255377,152.40886641476868,GABRA1;GNG2;SLC32A1;GAD1;GAD2;GABRG2
KEGG_2021_Human,Neuroactive ligand-receptor interaction,9/341,0.00013808028778795406,0.0053851312237302,0,0,5.097167516218721,45.30196956075125,ADCYAP1;GABRA1;SST;NMU;CRH;TAC3;TAC1;VIP;GABRG2
KEGG_2021_Human,Pertussis,4/76,0.0009063145499305412,0.0265097005854683,0,0,10.099388379204893,70.75756858969703,C4B;C1QB;C4A;C1QC
KEGG_2021_Human,Nicotine addiction,3/40,0.0014900408458142,0.0269334295721962,0,0,14.631449631449632,95.23539962663232,GABRA1;SLC32A1;GABRG2
KEGG_2021_Human,Taurine and hypotaurine metabolism,2/11,0.0016832425777148,0.0269334295721962,0,0,39.7957957957958,254.1770705617978,GAD1;GAD2
KEGG_2021_Human,Morphine addiction,4/91,0.0017695928235121,0.0269334295721962,0,0,8.35178740904777,52.92532526882305,GABRA1;GNG2;SLC32A1;GABRG2
KEGG_2021_Human,Coronavirus disease,6/232,0.0020563331071844,0.0269334295721962,0,0,4.878256554461997,30.18094852293477,C4B;C1QB;C4A;F13A1;TLR2;C1QC
KEGG_2021_Human,Staphylococcus aureus infection,4/95,0.0020718022747843,0.0269334295721962,0,0,7.983062808750883,49.33003048875957,C4B;C1QB;C4A;C1QC
KEGG_2021_Human,Legionellosis,3/57,0.0041165182703998,0.0481632637636788,0,0,10.016666666666667,55.01902132156969,CXCL1;TLR2;HSPA1A
KEGG_2021_Human,Systemic lupus erythematosus,4/135,0.0072519458122205,0.0748440199396133,0,0,5.534281112122698,27.264555420644133,C4B;C1QB;C4A;C1QC
KEGG_2021_Human,cAMP signaling pathway,5/216,0.0076763097373962,0.0748440199396133,0,0,4.3171844830612605,21.023032145736043,ADCYAP1;BDNF;SST;CAMK4;VIP
KEGG_2021_Human,Butanoate metabolism,2/28,0.0108670081540293,0.0847626636014288,0,0,13.763686763686763,62.239719871999625,GAD1;GAD2
KEGG_2021_Human,Ras signaling pathway,5/232,0.0102586124484714,0.0847626636014288,0,0,4.00962636645456,18.362636019909427,GNG2;ANGPT2;BDNF;PAK3;PLA1A
KEGG_2021_Human,Retrograde endocannabinoid signaling,4/148,0.0099481628588458,0.0847626636014288,0,0,5.031345565749236,23.19635148471127,GABRA1;GNG2;SLC32A1;GABRG2
KEGG_2021_Human,beta-Alanine metabolism,2/30,0.0124143666206696,0.0907800559136468,0,0,12.77927927927928,56.08699005654072,GAD1;GAD2
KEGG_2021_Human,IL-17 signaling pathway,3/94,0.0162278218184324,0.1116855972209761,0,0,5.932867132867133,24.449512248697037,CXCL1;S100A9;S100A8
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",2/37,0.0185264233895812,0.1176618262858592,0,0,10.21981981981982,40.762336687515074,GAD1;GAD2
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,3/100,0.0191074760635156,0.1176618262858592,0,0,5.564198687910028,22.021293400586597,TNFRSF10B;CXCL1;TNFRSF10D
KEGG_2021_Human,Chagas disease,3/102,0.0201261590001613,0.1177380301509441,0,0,5.451239669421487,21.291096846681032,C1QB;TLR2;C1QC
KEGG_2021_Human,Alcoholism,4/186,0.0212878532720317,0.1186037539441769,0,0,3.97318278052223,15.295238483485525,GNG2;BDNF;CAMK4;CRH
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,4/193,0.0239846661195606,0.1250146908501403,0,0,3.8246687054026505,14.267316817576276,GNG2;ANGPT2;CLEC2B;CXCL1
KEGG_2021_Human,Type I diabetes mellitus,2/43,0.0245755375175489,0.1250146908501403,0,0,8.721599648428917,32.32228092155592,GAD1;GAD2
KEGG_2021_Human,Lipid and atherosclerosis,4/215,0.0337641173572494,0.1646000721165912,0,0,3.4220618287751643,11.595165978389904,TNFRSF10B;CXCL1;TLR2;HSPA1A
KEGG_2021_Human,Inflammatory bowel disease,2/65,0.0522707143789285,0.2378413788331445,0,0,5.66966966966967,16.73300392900706,STAT4;TLR2
KEGG_2021_Human,Salmonella infection,4/249,0.0528536397406987,0.2378413788331445,0,0,2.942070773263434,8.650360924307918,TUBB2A;TNFRSF10B;PAK3;TLR2
KEGG_2021_Human,Prion disease,4/273,0.06922801608634,0.2999880697074732,0,0,2.6763070836601752,7.146675661534686,C1QB;TUBB2A;C1QC;HSPA1A
KEGG_2021_Human,Synaptic vesicle cycle,2/78,0.0720208651720944,0.3009443294691087,0,0,4.696775723091513,12.356274791307865,SNAP25;SLC32A1
KEGG_2021_Human,Insulin secretion,2/86,0.0851853203564517,0.3436787062656847,0,0,4.247747747747748,10.46188903319615,SNAP25;ADCYAP1
KEGG_2021_Human,Rheumatoid arthritis,2/93,0.0972488985878906,0.3792707044927736,0,0,3.91961191961192,9.134583544506324,CXCL1;TLR2
KEGG_2021_Human,Pathogenic Escherichia coli infection,3/197,0.100810565770418,0.380478586939965,0,0,2.7684629803186502,6.352271833561414,TUBB2A;TNFRSF10B;PAK3
KEGG_2021_Human,Circadian entrainment,2/97,0.1043476657249081,0.3815211528066953,0,0,3.7538169748696064,8.483727773995065,ADCYAP1;GNG2
KEGG_2021_Human,Amoebiasis,2/102,0.1134123870922996,0.3902720379352665,0,0,3.565225225225225,7.760513666329722,CXCL1;TLR2
KEGG_2021_Human,Longevity regulating pathway,2/102,0.1134123870922996,0.3902720379352665,0,0,3.565225225225225,7.760513666329722,CAMK4;HSPA1A
