Gene,logFC,P.Value,t,adj.P.Val,Significant
TRAPPC2L,-0.8996297259935044,3.4606386121215133e-20,-11.642866029161087,1.1101728667685815e-15,False
CIRBP,-1.3368239756866878,1.0007289479801707e-19,-11.427387512045778,1.235590647559908e-15,True
SPP1,1.9238140245941562,1.1554775382418093e-19,11.398260185485684,1.235590647559908e-15,True
IDS,-0.837506561987011,1.5407991268463123e-19,-11.339995878982746,1.2357208997307426e-15,False
SPON2,-1.6618406049853913,6.840163600943338e-19,-11.038920216717944,4.388648966365246e-15,True
CRYAB,1.0535928018993488,1.38914717840836e-18,10.896181428257757,6.366263069048598e-15,True
HSPB1,1.1551334443344157,1.2221998631237372e-18,10.921961977324765,6.366263069048598e-15,True
SRSF10,0.6085256729853885,1.6476729168781632e-18,10.861826553245495,6.607168396681435e-15,False
RBM3,-1.6154504945746746,1.994347344731007e-18,-10.82340368199939,7.108740313218966e-15,True
IFT52,-0.6671010984058423,6.8867334254925416e-18,-10.574369165157663,2.008421893543643e-14,False
XLOC_010952,-1.1548791857159104,6.478604465979674e-18,-10.586633276774956,2.008421893543643e-14,True
FAM5B,-1.0495102779724022,1.2759317856146542e-17,-10.450637553559684,3.3229310827894726e-14,True
BACE2,1.1699636815194827,1.4002318864498046e-17,10.431994672325864,3.3229310827894726e-14,True
CYP1B1-AS1,-1.3500145011931828,1.4501569563295705e-17,-10.424969398708102,3.3229310827894726e-14,True
RNF130,0.7899526222402553,5.899778601646013e-17,10.143817339151008,1.2617659836053608e-13,False
C17orf108,-1.271144089737012,8.056556190021963e-17,-10.081443128212294,1.6153395160994038e-13,True
C4A,1.628674463925325,1.0988676416403286e-16,10.019321650669376,2.0736278790483378e-13,True
LIN7B,-0.9811158662516224,1.2740668422232974e-16,-9.989717428747431,2.2706702388068545e-13,False
TARBP1,-1.1705269007711046,1.6723088343028885e-16,-9.935293274457912,2.823561442338772e-13,True
G3BP1,0.5795075826022718,2.372329757441149e-16,9.86533616174914,3.6240161247005744e-13,False
SLC1A7,2.1429651181071447,2.337153059151913e-16,9.868324778000973,3.6240161247005744e-13,True
LOC286161,-0.6017681091282494,2.7745461516447036e-16,-9.83400535986358,4.0457927520346403e-13,False
LOC100289341,-1.1797963502873356,5.085530292127703e-16,-9.712801696650235,7.093209207454639e-13,True
SLC25A6,-0.4794953928246777,5.653937436630531e-16,-9.691608031302811,7.557429706962809e-13,False
BDH1,-0.6942975707694803,8.503742878333795e-16,-9.609963836248353,1.0912002861477925e-12,False
HACL1,-0.5664598513522705,9.678221906892838e-16,-9.584084143433829,1.1941436875889317e-12,False
CLEC18B,0.9463700793944785,1.147976154208564e-15,9.5499342997054,1.3639657417411382e-12,False
LOC100507165,-1.0874705206574653,1.6107886301128755e-15,-9.482167021043283,1.722469975134035e-12,True
HSD11B1L,-0.7220224192094165,1.5463727465347607e-15,-9.490332624042919,1.722469975134035e-12,False
GSS,-0.7833016709139606,1.5970043967052953e-15,-9.48388656783136,1.722469975134035e-12,False
PFKFB3,0.6880619277321429,2.013603303002819e-15,9.437506040742088,2.083754643881627e-12,False
MYL5,-1.260840694521102,2.0924339325138106e-15,-9.429821523235788,2.097665017345095e-12,True
CAMKK2,-1.3011745800584418,3.3394790722178917e-15,-9.336258985643735,3.060871103907142e-12,True
PSEN2,-0.6758766011493513,3.231504947024333e-15,-9.34283797227774,3.060871103907142e-12,False
UBE2V1,-0.44596979192857056,3.296396793029489e-15,-9.338858190792296,3.060871103907142e-12,False
MRPS25,-0.6044461993977279,3.5149503791649994e-15,-9.326007780433276,3.132211337878144e-12,False
ANKRA2,-0.6772666395892841,3.736058290548632e-15,-9.313795246637595,3.2392635124540572e-12,False
AQP1,1.9189015323928569,3.931813206831273e-15,9.303571311249533,3.3192780967144015e-12,True
COG1,-0.8103741246428555,5.5167226683470506e-15,-9.235756089659107,4.537858030783933e-12,False
PARL,-0.48694695240259733,6.0474815787166905e-15,-9.217359263709302,4.850080226130786e-12,False
TTC8,-0.7661827566899335,6.221218913604833e-15,-9.211686332580951,4.867724457279099e-12,False
ZFP2,-0.7430618043392867,7.948841974101815e-15,-9.162596267289013,5.930205826260145e-12,False
FAM131A,-0.9420050230146106,7.82424615713994e-15,-9.165761488819955,5.930205826260145e-12,False
XLOC_006951,-2.178426140800325,9.289756674274143e-15,-9.131361986834046,6.773077138879875e-12,True
CASP7,0.838176360672076,9.979017699326944e-15,9.117019263744126,6.917340737981955e-12,False
AGL,-0.6936191893490271,1.0007985963543672e-14,-9.116438348441422,6.917340737981955e-12,False
TRAP1,-0.6537763086980517,1.0134507939063339e-14,-9.113920668076574,6.917340737981955e-12,False
XLOC_001257,1.0895972156866867,1.3456682093098044e-14,9.057087950607915,8.495509256608863e-12,True
TIMM50,-0.5326840339496748,1.3770775602981946e-14,-9.052462055978536,8.495509256608863e-12,False
TP73-AS1,0.6207264229334424,1.3158212922582258e-14,9.061584745405561,8.495509256608863e-12,False
SAMD14,-0.7640480003782457,1.3720237912151707e-14,-9.053199206069547,8.495509256608863e-12,False
CARTPT,-2.8286927941964297,1.3021532040106625e-14,-9.063678115774573,8.495509256608863e-12,True
