Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Chemical Synaptic Transmission (GO:0007268),38/260,2.2334380785638534e-10,4.842093754326434e-07,0,0,3.686042206590152,81.91236813689424,CHRM2;GABRB2;CHRM3;SNAP25;CHRM1;DOC2A;CHRM4;HTR2A;HTR4;SLC1A6;CPLX1;GRIN2A;GRM7;SLC17A6;GABRE;NPTX2;DLGAP2;GABRD;PDLIM4;CHRNB2;SYT5;GABRA1;UNC13A;SLC12A5;SLC32A1;SYT1;GAD1;GAD2;HTR3B;HTR5A;SYN2;GABRG2;SST;PNOC;CRH;CHRFAM7A;AMPH;CBLN2
GO_Biological_Process_2025,Anterograde Trans-Synaptic Signaling (GO:0098916),28/189,3.889516466896599e-08,4.216235850115914e-05,0,0,3.714790460300324,63.38322550290575,CHRM2;CHRM3;GABRB2;SNAP25;CHRM1;DOC2A;CHRM4;HTR2A;HTR4;SLC1A6;CPLX1;GRIN2A;GRM7;NPTX2;CHRNB2;SYT5;SLC12A5;SYT1;GAD1;GAD2;HTR3B;HTR5A;SYN2;SST;PNOC;CRH;AMPH;CHRFAM7A
GO_Biological_Process_2025,Synaptic Vesicle Exocytosis (GO:0016079),9/43,0.00011591763759613544,0.0837698127694738,0,0,5.572570685732857,50.50214983877868,SYT5;SNAP25;SYT4;PCLO;UNC13A;DOC2A;SYT1;SYT13;CPLX1
GO_Biological_Process_2025,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),10/56,0.0001987064127348353,0.1076988757022807,0,0,4.578684109272797,39.027247946194855,CHRM2;CHRM3;CHRM1;GRM7;RGS1;CHRM4;HTR4;INSL3;HTR5A;MCHR1
GO_Biological_Process_2025,"Synaptic Transmission, GABAergic (GO:0051932)",5/16,0.000564744383379838,0.221226774501456,0,0,9.538453845384538,71.33940639706421,GABRA1;GABRB2;GABRE;GABRD;GABRG2
GO_Biological_Process_2025,Signal Release From Synapse (GO:0099643),7/33,0.000612251220944989,0.221226774501456,0,0,5.6577050292596045,41.85778309475937,SNAP25;PCLO;UNC13A;SLC32A1;SYT1;CPLX1;SYN2
GO_Biological_Process_2025,Neurotransmitter Secretion (GO:0007269),7/35,0.0008900568163424949,0.2394933580874818,0,0,5.25303197353914,36.89847987323251,SNAP25;PCLO;UNC13A;SLC32A1;SYT1;CPLX1;SYN2
GO_Biological_Process_2025,Neurotransmitter Transport (GO:0006836),8/46,0.0010263592962836,0.2394933580874818,0,0,4.426164749622401,30.459703505893465,SNAP25;UNC13A;SLC32A1;SYT1;SLC17A6;SLC1A6;SLC1A7;SYN2
GO_Biological_Process_2025,Calcium-Dependent Activation of Synaptic Vesicle Fusion (GO:0099502),4/11,0.0011046741609201,0.2394933580874818,0,0,11.980533751962325,81.56592816932717,SYT5;SYT4;SYT1;SYT13
GO_Biological_Process_2025,Positive Regulation of Synaptic Vesicle Fusion to Presynaptic Active Zone Membrane (GO:0031632),4/11,0.0011046741609201,0.2394933580874818,0,0,11.980533751962325,81.56592816932717,SYT5;SYT4;SYT1;SYT13
GO_Biological_Process_2025,Negative Regulation of Catecholamine Secretion (GO:0033604),3/6,0.0017148277578018,0.2958664308511786,0,0,20.94731064763996,133.40174624166468,CHGA;SYT4;CRH
GO_Biological_Process_2025,Regulation of Calcium Ion-Dependent Exocytosis (GO:0017158),6/29,0.0017240917058829,0.2958664308511786,0,0,5.476824363148822,34.8493341797205,SYT5;SYT4;DOC2A;SYT1;STXBP1;SYT13
GO_Biological_Process_2025,"GPCR Sgnlng Pway, Coupled to Cyclic Nucleotide Second Messenger (GO:0007187)",8/50,0.0017981383135769,0.2958664308511786,0,0,4.003784295175024,25.307934220908123,CHRM2;CHRM3;CHRM1;CHRM4;CCL2;HTR2A;HTR4;HTR5A
GO_Biological_Process_2025,Regulation of Muscle Contraction (GO:0006937),6/30,0.0020729155673589,0.2958664308511786,0,0,5.2483480176211454,32.42848840687459,CHRM2;CHRM3;MYL5;KCNB2;MYBPH;CACNG1
GO_Biological_Process_2025,Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007197),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,CHRM2;CHRM3;CHRM4
GO_Biological_Process_2025,Secondary Metabolite Biosynthetic Process (GO:0044550),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,OCA2;CITED1;TYRP1
GO_Biological_Process_2025,Leukocyte Aggregation (GO:0070486),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,S100A9;CD44;S100A8
GO_Biological_Process_2025,Melanin Biosynthetic Process (GO:0042438),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,OCA2;SLC45A2;TYRP1
GO_Biological_Process_2025,Negative Regulation of Macrophage Migration (GO:1905522),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,SLAMF8;S100A9;CD200
GO_Biological_Process_2025,Positive Regulation of Apoptotic Cell Clearance (GO:2000427),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,C4B;C4A;CCL2
GO_Biological_Process_2025,Regulation of Apoptotic Cell Clearance (GO:2000425),3/7,0.002899140681725,0.2958664308511786,0,0,15.709659714599342,91.79689717540823,C4B;C4A;CCL2
GO_Biological_Process_2025,Sodium-Independent Organic Anion Transport (GO:0043252),4/14,0.0030023346304086,0.2958664308511786,0,0,8.385054945054945,48.70346036043728,SLC22A6;SLCO4A1;SLCO1A2;SLC22A9
GO_Biological_Process_2025,Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214),5/23,0.0033346738698245,0.3143292586860737,0,0,5.8269160249358265,33.23311861733073,GABRA1;GABRB2;GABRE;GABRD;GABRG2
GO_Biological_Process_2025,Regulated Exocytosis (GO:0045055),7/44,0.0035518249040242,0.3208481829968544,0,0,3.973390148693346,22.411087622405766,SNAP25;PCLO;SCIN;STXBP1;SYNGR3;CPLX1;STEAP2
GO_Biological_Process_2025,Regulation of 3'-UTR-mediated mRNA Stabilization (GO:1905868),3/8,0.0044816319480421,0.3886471225342153,0,0,12.567069154774972,67.95979474027048,ZFP36;ELAVL4;RBM24
GO_Biological_Process_2025,Acetylcholine Receptor Signaling Pathway (GO:0095500),6/35,0.004668021477385,0.3892411754988767,0,0,4.342321130183807,23.3053241939986,CHRM2;CHRNB2;CHRM3;CHRM1;CHRM4;CHRFAM7A
GO_Biological_Process_2025,G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),4/17,0.0063995522487373,0.5138603435282453,0,0,6.449027895181741,32.57744016270013,CHRM2;CHRM3;CHRM1;CHRM4
GO_Biological_Process_2025,Melanocyte Differentiation (GO:0030318),3/10,0.0089667125797702,0.6703390645842009,0,0,8.975537086404266,42.31280149384833,OCA2;KIT;TYRP1
GO_Biological_Process_2025,Regulation of Amyloid Precursor Protein Biosynthetic Process (GO:0042984),3/10,0.0089667125797702,0.6703390645842009,0,0,8.975537086404266,42.31280149384833,NECAB2;BACE2;NECAB1
GO_Biological_Process_2025,Neurotransmitter Uptake (GO:0001504),3/11,0.011914985983318,0.8365520200673487,0,0,7.853183315038419,34.78927495986909,SNAP25;SLC1A6;SLC1A7
GO_Biological_Process_2025,Regulation of Smooth Muscle Contraction (GO:0006940),4/21,0.0139237288722855,0.8365520200673487,0,0,4.930575307045896,21.07407160609335,CHRM2;CHRM3;KCNB2;NMU
GO_Biological_Process_2025,Regulation of Synaptic Vesicle Exocytosis (GO:2000300),4/21,0.0139237288722855,0.8365520200673487,0,0,4.930575307045896,21.07407160609335,SYT5;VPS18;SYT1;SYT13
GO_Biological_Process_2025,Cellular Response to Nerve Growth Factor Stimulus (GO:1990090),4/21,0.0139237288722855,0.8365520200673487,0,0,4.930575307045896,21.07407160609335,BDNF;STMN2;WASF1;SH3GL2
GO_Biological_Process_2025,Inhibitory Synapse Assembly (GO:1904862),4/21,0.0139237288722855,0.8365520200673487,0,0,4.930575307045896,21.07407160609335,GABRA1;GABRB2;GABRE;GABRG2
GO_Biological_Process_2025,Regulation of Regulated Secretory Pathway (GO:1903305),5/32,0.0142278617773996,0.8365520200673487,0,0,3.882777166605549,16.51171623088755,SYT5;SYT4;VPS18;SYT1;SYT13
GO_Biological_Process_2025,Regulation of Short-Term Neuronal Synaptic Plasticity (GO:0048172),3/12,0.0153542068343773,0.8365520200673487,0,0,6.980241492864984,29.152041718282167,SLC4A10;SYP;SHISA9
GO_Biological_Process_2025,Synaptic Vesicle Cycle (GO:0099504),6/45,0.0159449278374923,0.8365520200673487,0,0,3.227211114876313,13.35618272828528,SNAP25;PCLO;SLC32A1;SLC17A6;CPLX1;SYN2
GO_Biological_Process_2025,Amino Acid Biosynthetic Process (GO:0008652),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,GAD1;GAD2
GO_Biological_Process_2025,Astrocyte Differentiation (GO:0048708),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,S100A9;HES5
GO_Biological_Process_2025,Regulation of Respiratory Burst Involved in Inflammatory Response (GO:0060264),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,SLAMF8;S100A9
GO_Biological_Process_2025,Cell Junction Disassembly (GO:0150146),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,C1QB;C1QC
GO_Biological_Process_2025,Cellular Heat Acclimation (GO:0070370),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,HSPA1B;HSPA1A
GO_Biological_Process_2025,Cellular Response to Histamine (GO:0071420),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,GABRB2;GABRG2
GO_Biological_Process_2025,Gamma-Aminobutyric Acid Metabolic Process (GO:0009448),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,GAD1;GAD2
GO_Biological_Process_2025,Heat Acclimation (GO:0010286),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,HSPA1B;HSPA1A
GO_Biological_Process_2025,Melanin Metabolic Process (GO:0006582),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,OCA2;TYRP1
GO_Biological_Process_2025,Negative Regulation of Macrophage Differentiation (GO:0045650),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,INHA;C1QC
GO_Biological_Process_2025,Positive Regulation of 3'-UTR-mediated mRNA Stabilization (GO:1905870),2/5,0.0190242566832342,0.8365520200673487,0,0,13.949561403508772,55.2687264919734,ELAVL4;RBM24
GO_Biological_Process_2025,MHC Class II Protein Complex Assembly (GO:0002399),3/13,0.0192931738945421,0.8365520200673487,0,0,6.281888035126235,24.800918649574445,HLA-DRB5;HLA-DRB4;HLA-DQA1
GO_Biological_Process_2025,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),3/13,0.0192931738945421,0.8365520200673487,0,0,6.281888035126235,24.800918649574445,HLA-DRB5;HLA-DRB4;HLA-DQA1
GO_Biological_Process_2025,G Protein-Coupled Serotonin Receptor Signaling Pathway (GO:0098664),3/14,0.0237361396801675,0.9837386920039528,0,0,5.710507933339986,21.36161973431095,HTR2A;HTR4;HTR5A
GO_Biological_Process_2025,Regulation of Osteoclast Development (GO:2001204),2/6,0.0276789945628418,0.9837386920039528,0,0,10.461622807017545,37.52669334322247,LILRB1;LTF
