Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,GABAergic synapse,15/89,1.1360274843688549e-05,0.0027605467870163,0,0,4.286745032017557,48.806255236444365,NSF;GABRB2;GABRA1;KCNJ6;SLC12A5;SLC32A1;GLS2;GAD1;GAD2;ADCY2;GABRG2;GNG3;GNG2;GABRE;GABRD
KEGG_2021_Human,Nicotine addiction,9/40,6.356557832537673e-05,0.0077232177665332,0,0,6.112814115130993,59.07080299105471,CHRNB2;GABRB2;GABRA1;GRIN2A;SLC32A1;SLC17A6;GABRE;GABRD;GABRG2
KEGG_2021_Human,Neuroactive ligand-receptor interaction,32/341,9.963391642026416e-05,0.0080703472300413,0,0,2.204698060453955,20.314105401324923,CHRM2;GABRB2;CHRM3;CHRM1;CHRM4;NPY2R;C5AR1;ADRA1D;HTR2A;HTR4;MCHR1;GRIN2A;GRM7;CNR1;TAC3;GABRE;TAC1;INSL3;GABRD;CHRNB2;GABRA1;GLP2R;TAAR5;PTH2R;HTR5A;GABRG2;ADCYAP1;CCKBR;SST;NMU;CRH;VIP
KEGG_2021_Human,Synaptic vesicle cycle,10/78,0.0028459216016882,0.1509987854349466,0,0,3.0937662675689745,18.13525049356713,NSF;SNAP25;UNC13A;SLC32A1;SYT1;STXBP1;SLC17A6;SLC1A6;CPLX1;SLC1A7
KEGG_2021_Human,Type I diabetes mellitus,7/43,0.0031069708937231,0.1509987854349466,0,0,4.083976479235576,23.58131724431483,CD86;HLA-DRB5;HLA-DRB4;GAD1;ICA1;GAD2;HLA-DQA1
KEGG_2021_Human,Cholinergic synapse,12/113,0.0055219035623747,0.2236370942761789,0,0,2.5007134859827445,13.001291011613564,CHRM2;CHRNB2;KCNJ4;CHRM3;GNG3;KCNJ6;CHRM1;GNG2;CHRM4;CAMK4;ADCY2;PIK3R5
KEGG_2021_Human,Morphine addiction,10/91,0.0085649470054683,0.2973260174755443,0,0,2.5954605047525403,12.354592721420966,GABRB2;GABRA1;GNG3;KCNJ6;GNG2;SLC32A1;ADCY2;GABRE;GABRD;GABRG2
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,4/23,0.0191694656039576,0.5822725177202139,0,0,4.411104684788896,17.443433807539293,MDH1;GLS2;PCK1;AQP1
KEGG_2021_Human,Calcium signaling pathway,18/240,0.0274317707377044,0.7150511721078249,0,0,1.707046332046332,6.138629802729076,RET;CHRM2;CHRM3;CHRM1;FLT1;ADCY2;ADRA1D;HTR2A;HTR4;HTR5A;ITPKB;GRIN2A;CCKBR;FGF9;CAMK4;CASQ1;MET;CAMK1G
KEGG_2021_Human,Staphylococcus aureus infection,9/95,0.0296013116016179,0.7150511721078249,0,0,2.197096235384813,7.733639469721029,C4B;C1QB;C4A;HLA-DRB5;HLA-DRB4;C5AR1;FCGR2C;HLA-DQA1;C1QC
KEGG_2021_Human,Toxoplasmosis,10/112,0.0323685715768974,0.7150511721078249,0,0,2.0588235294117645,7.062932758843499,HLA-DRB5;HLA-DRB4;LY96;LAMB1;CCR5;HLA-DQA1;HSPA1B;PIK3R5;TLR2;HSPA1A
KEGG_2021_Human,Retrograde endocannabinoid signaling,12/148,0.0389640199459548,0.7529492247685068,0,0,1.8537237511412548,6.015549761440378,GABRB2;GABRA1;GNG3;KCNJ6;GNG2;SLC32A1;CNR1;SLC17A6;ADCY2;GABRE;GABRD;GABRG2
KEGG_2021_Human,Complement and coagulation cascades,8/85,0.0402812342468748,0.7529492247685068,0,0,2.179868696424988,7.00145393247102,C4B;C1QB;C4A;SERPINC1;C5AR1;F13A1;VSIG4;C1QC
KEGG_2021_Human,Asthma,4/31,0.0512093568676974,0.8888481227750351,0,0,3.102808302808303,9.221028145159766,HLA-DRB5;HLA-DRB4;FCER1A;HLA-DQA1
KEGG_2021_Human,Rheumatoid arthritis,8/93,0.0624428924728333,0.9830132425798292,0,0,1.9738735229191011,5.474543861827544,CD86;HLA-DRB5;FLT1;HLA-DRB4;CCL2;CXCL1;HLA-DQA1;TLR2
KEGG_2021_Human,Serotonergic synapse,9/113,0.074009364156522,0.9830132425798292,0,0,1.8151083722906929,4.725750180954356,GABRB2;GNG3;KCNJ6;CYP4X1;GNG2;HTR2A;HTR3B;HTR4;HTR5A
KEGG_2021_Human,Inflammatory bowel disease,6/65,0.0759364073286947,0.9830132425798292,0,0,2.131001269319794,5.49342087494095,HLA-DRB5;HLA-DRB4;STAT4;IL2RG;HLA-DQA1;TLR2
KEGG_2021_Human,Glutamatergic synapse,9/114,0.0772729555666887,0.9830132425798292,0,0,1.7977269139700078,4.602920211195866,GRIN2A;GNG3;GNG2;GRM7;GLS2;SLC17A6;ADCY2;SLC1A6;SLC1A7
KEGG_2021_Human,Hematopoietic cell lineage,8/99,0.0832447351570623,0.9830132425798292,0,0,1.8431458166557504,4.5820059310690455,HLA-DRB5;HLA-DRB4;IL2RA;IL3RA;KIT;HLA-DQA1;CD33;CD44
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,8/100,0.087064804292924,0.9830132425798292,0,0,1.823015644495633,4.45016815793895,TNFSF14;IL2RA;TNFRSF10B;CCL2;CXCL1;CCR5;IL2RG;TNFRSF10D
KEGG_2021_Human,Taurine and hypotaurine metabolism,2/11,0.0872952810639083,0.9830132425798292,0,0,4.648391812865497,11.334912255909003,GAD1;GAD2
KEGG_2021_Human,Phagosome,11/152,0.0889970836903549,0.9830132425798292,0,0,1.6367427723192196,3.959529022982641,MSR1;HLA-DRB5;HLA-DRB4;TUBB2A;TUBA3C;TUBB3;SFTPD;FCGR2C;HLA-DQA1;DYNC1I1;TLR2
KEGG_2021_Human,Allograft rejection,4/38,0.0939442328512732,0.992541242733017,0,0,2.4630898513251456,5.825340358200809,CD86;HLA-DRB5;HLA-DRB4;HLA-DQA1
KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,3/27,0.1237532567418684,0.9999957837905712,0,0,2.6155323819978045,5.465064835272601,ACOT7;ELOVL4;ACOT4
KEGG_2021_Human,Fatty acid elongation,3/27,0.1237532567418684,0.9999957837905712,0,0,2.6155323819978045,5.465064835272601,ACOT7;ELOVL4;ACOT4
KEGG_2021_Human,Graft-versus-host disease,4/42,0.123980854957959,0.9999957837905712,0,0,2.2033545401966457,4.599784898201677,CD86;HLA-DRB5;HLA-DRB4;HLA-DQA1
KEGG_2021_Human,Th1 and Th2 cell differentiation,7/92,0.127694538242846,0.9999957837905712,0,0,1.7252350995525,3.5507310069587894,HLA-DRB5;HLA-DRB4;IL2RA;STAT4;IL2RG;RUNX3;HLA-DQA1
KEGG_2021_Human,Viral myocarditis,5/60,0.1385712903949521,0.9999957837905712,0,0,1.9032903290329035,3.761606580766179,CD86;HLA-DRB5;HLA-DRB4;EIF4G3;HLA-DQA1
KEGG_2021_Human,Systemic lupus erythematosus,9/135,0.1653345443799742,0.9999957837905712,0,0,1.4964483030781373,2.69328418569449,CD86;C4B;C1QB;C4A;GRIN2A;HLA-DRB5;HLA-DRB4;HLA-DQA1;C1QC
KEGG_2021_Human,Intestinal immune network for IgA production,4/48,0.1754023773624643,0.9999957837905712,0,0,1.9022977022977023,3.3112775733935838,CD86;HLA-DRB5;HLA-DRB4;HLA-DQA1
KEGG_2021_Human,D-Glutamine and D-glutamate metabolism,1/5,0.2085664729420603,0.9999957837905712,0,0,5.2250821467688935,8.190303063807496,GLS2
KEGG_2021_Human,Autoimmune thyroid disease,4/53,0.2228120209488774,0.9999957837905712,0,0,1.7077371607983851,2.564042371992253,CD86;HLA-DRB5;HLA-DRB4;HLA-DQA1
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",3/37,0.2383027151467143,0.9999957837905712,0,0,1.845289597727126,2.646539254545455,GLS2;GAD1;GAD2
KEGG_2021_Human,Legionellosis,4/57,0.2628428834085391,0.9999957837905712,0,0,1.5785195936139331,2.1092160290806734,CXCL1;HSPA1B;TLR2;HSPA1A
KEGG_2021_Human,Pertussis,5/76,0.2669114603555147,0.9999957837905712,0,0,1.473140271773656,1.9457800697387613,C4B;C1QB;C4A;LY96;C1QC
KEGG_2021_Human,PI3K-Akt signaling pathway,19/354,0.2674580071888257,0.9999957837905712,0,0,1.1882564829483866,1.567063984281578,CHRM2;CHRM1;FLT1;ANGPT2;BDNF;LAMB1;IL2RG;PIK3R5;TCL1B;GNG3;GNG2;FGF9;IL2RA;KIT;IL3RA;SPP1;PCK1;MET;TLR2
KEGG_2021_Human,Oxytocin signaling pathway,9/154,0.2723196076881661,0.9999957837905712,0,0,1.2990588683558772,1.689788332333555,KCNJ4;KCNJ6;CAMK4;ADCY2;CACNG1;CACNG3;CAMK1G;PIK3R5;CAMKK2
KEGG_2021_Human,Leishmaniasis,5/77,0.2757369410815127,0.9999957837905712,0,0,1.4526035936927026,1.8714008012238657,HLA-DRB5;HLA-DRB4;FCGR2C;HLA-DQA1;TLR2
KEGG_2021_Human,Circadian entrainment,6/97,0.2830846994254772,0.9999957837905712,0,0,1.379314518081038,1.7407075216653434,ADCYAP1;GRIN2A;GNG3;KCNJ6;GNG2;ADCY2
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,6/97,0.2830846994254772,0.9999957837905712,0,0,1.379314518081038,1.7407075216653434,VASP;SCIN;MYO10;AMPH;PIP5K1B;WASF1
